Gender,HSC,SSC,Income,Computer,Preparation,Gaming,Attendance,Job,English,Extra,Semester,Last,Overall
0,4.25,4.89,1.0,5,3,3,3,0,4,0,2,3.44,3.44
0,3.92,5.0,2.0,3,3,3,3,0,3,0,2,3.44,3.44
1,4.75,5.0,3.0,1,1,4,3,0,1,0,11,3.52,3.45
0,4.5,4.75,3.0,1,4,4,3,0,4,0,3,2.92,3.46
0,5.0,5.0,2.0,5,1,4,4,0,4,1,2,3.48,3.48
0,3.5,4.8,4.0,5,1,4,2,0,5,1,11,3.02,3.5
1,5.0,5.0,2.0,4,3,4,4,1,5,1,4,2.07,3.5
0,4.53,4.75,2.0,1,1,4,4,0,4,1,10,3.0,3.5
0,4.42,4.88,1.0,4,1,3,4,0,3,0,10,3.76,3.5
0,4.58,5.0,4.0,4,1,3,4,0,4,0,9,3.7,3.5
1,3.5,4.81,2.0,4,4,4,4,0,5,1,9,3.8,3.5
0,5.0,5.0,3.0,5,1,4,4,0,5,1,8,4.0,3.5
0,4.58,5.0,2.0,1,1,3,4,0,5,1,8,3.78,3.5
1,4.83,5.0,4.0,3,1,1,4,0,3,1,7,3.83,3.5
1,4.33,5.0,4.0,3,4,4,4,0,5,1,7,3.81,3.5
1,4.25,5.0,3.0,5,4,4,4,0,5,1,6,3.81,3.5
0,4.33,5.0,1.0,4,1,3,4,0,4,0,6,3.75,3.5
0,3.75,4.67,3.0,3,1,1,4,0,3,1,5,3.83,3.5
0,4.58,5.0,4.0,3,1,3,4,0,3,0,5,3.75,3.5
1,3.67,4.61,4.0,3,3,3,3,0,3,0,2,3.5,3.5
1,3.75,4.78,3.0,3,3,3,3,0,3,0,2,3.5,3.5
0,4.17,4.94,1.0,3,3,3,3,0,3,0,2,3.5,3.5
0,4.0,5.0,2.0,3,3,3,3,0,4,0,2,3.5,3.5
0,3.75,4.61,1.0,3,3,3,3,0,3,0,2,3.5,3.5
0,4.08,5.0,4.0,5,3,3,3,0,3,0,2,3.5,3.5
1,4.33,4.94,2.0,5,3,3,3,0,3,0,2,3.5,3.5
0,4.57,5.0,2.0,5,1,1,4,0,5,0,11,3.92,3.54
1,4.5,4.75,2.0,1,4,4,4,0,5,0,10,3.42,3.55
0,4.52,4.75,2.0,1,4,4,4,0,3,0,10,3.42,3.55
0,3.58,5.0,1.0,3,3,4,3,0,5,1,9,3.57,3.56
1,4.17,5.0,3.0,4,3,4,3,0,3,1,2,3.56,3.56
1,4.25,5.0,2.0,5,3,4,3,0,5,1,2,3.56,3.56
0,4.33,5.0,4.0,3,3,4,3,0,5,1,2,3.56,3.56
1,3.83,4.59,2.0,3,3,4,3,0,3,1,2,3.56,3.56
0,4.17,4.59,3.0,3,3,4,3,0,4,0,2,3.56,3.56
1,4.17,5.0,1.0,3,3,4,3,0,3,1,2,3.56,3.56
0,4.0,5.0,4.0,5,3,4,3,0,3,1,2,3.56,3.56
1,4.0,5.0,4.0,3,3,4,3,0,3,1,2,3.56,3.56
1,4.42,5.0,4.0,4,3,4,3,0,4,0,2,3.56,3.56
0,3.92,4.18,4.0,5,3,4,3,0,3,1,2,3.56,3.56
0,5.0,5.0,1.0,1,1,4,4,0,1,0,4,3.64,3.6
1,3.83,5.0,4.0,5,3,4,3,0,3,1,10,3.61,3.6
0,5.0,5.0,1.0,3,3,4,3,0,5,1,10,3.62,3.6
